"Date","Team","Opponent","Age","Assist1","Assist2","Goalie","Period","Time","Strength","ArenaName","Result","HomeAway","ENG","PS"
1982-10-14,"EDM","HAR",21,"Charlie Huddy",NA,"Greg Millen","2",1899-12-31 04:27:00,"EV","Hartford Civic Center","T","A",0,0
1982-10-12,"EDM","CGY",21,"Jari Kurri","Randy Gregg","Don Edwards","1",1899-12-31 11:35:00,"PP","Stampede Corral","L","A",0,0
1982-10-09,"EDM","VAN",21,"Andy Moog",NA,NA,"3",1899-12-31 19:32:00,"SH","Pacific Coliseum","W","A",1,0
1982-10-09,"EDM","VAN",21,"Jaroslav Pouzar","Kevin Lowe","Richard Brodeur","2",1899-12-31 12:09:00,"EV","Pacific Coliseum","W","A",0,0
1982-10-08,"EDM","NYI",21,"Paul Coffey","Jari Kurri","Billy Smith","1",1899-12-31 14:27:00,"PP","Northlands Coliseum","L","H",0,0
1982-03-28,"EDM","LAK",21,"Glenn Anderson",NA,"Mike Blake","3",1899-12-31 01:50:00,"EV","Great Western Forum","W","A",0,0
1982-03-26,"EDM","CLR",21,"Pat Hughes","Lee Fogolin","Glenn Resch","2",1899-12-31 17:56:00,"EV","McNichols Sports Arena","T","A",0,0
1982-03-25,"EDM","CGY",21,"Dave Lumley",NA,"Reggie Lemelin","2",1899-12-31 08:10:00,"SH","Stampede Corral","W","A",0,0
1982-03-25,"EDM","CGY",21,"Charlie Huddy",NA,"Reggie Lemelin","2",1899-12-31 08:37:00,"SH","Stampede Corral","W","A",0,0
1982-03-19,"EDM","CGY",21,"Glenn Anderson",NA,"Reggie Lemelin","3",1899-12-31 13:04:00,"EV","Northlands Coliseum","T","H",0,0
1982-03-17,"EDM","PIT",21,"Matti Hagman","Mark Messier","Michel Dion","1",1899-12-31 12:16:00,"PP","Northlands Coliseum","W","H",0,0
1982-03-17,"EDM","PIT",21,"Jari Kurri","Risto Siltanen","Michel Dion","2",1899-12-31 13:52:00,"EV","Northlands Coliseum","W","H",0,0
1982-03-17,"EDM","PIT",21,"Paul Coffey",NA,"Michel Dion","3",1899-12-31 11:33:00,"EV","Northlands Coliseum","W","H",0,0
1982-03-15,"EDM","LAK",21,"Jari Kurri","Charlie Huddy","Mario Lessard","2",1899-12-31 15:55:00,"EV","Northlands Coliseum","T","H",0,0
1982-03-15,"EDM","LAK",21,"Jari Kurri","Paul Coffey","Mario Lessard","2",1899-12-31 17:54:00,"SH","Northlands Coliseum","T","H",0,0
1982-02-28,"EDM","WSH",21,"Dave Lumley",NA,"Dave Parro","2",1899-12-31 07:18:00,"EV","Capital Center","W","A",0,0
1982-02-28,"EDM","WSH",21,"Jari Kurri",NA,NA,"3",1899-12-31 19:20:00,"EV","Capital Center","W","A",1,0
1982-02-27,"EDM","PIT",21,"Jari Kurri","Kevin Lowe",NA,"3",1899-12-31 19:05:00,"EV","Pittsburgh Civic Arena","W","A",1,0
1982-02-24,"EDM","BUF",21,"Risto Siltanen","Pat Hughes","Don Edwards","3",1899-12-31 19:43:00,"PP","Buffalo Memorial Auditorium","W","A",0,0
1982-02-24,"EDM","BUF",21,NA,NA,"Don Edwards","3",1899-12-31 13:24:00,"EV","Buffalo Memorial Auditorium","W","A",0,0
1982-02-24,"EDM","BUF",21,"Mark Messier","Jari Kurri","Don Edwards","3",1899-12-31 18:16:00,"EV","Buffalo Memorial Auditorium","W","A",0,0
1982-02-21,"EDM","DET",21,"Glenn Anderson","Risto Siltanen","Bob Sauve","3",1899-12-31 16:34:00,"EV","Joe Louis Arena","W","A",0,0
